fecha,capital
2014-07-28,147241.42
2014-07-29,145153.54
2014-07-30,145226.05
2014-07-31,146234.02
2014-08-01,146234.02
2014-08-04,146234.02
2014-08-05,146234.02
2014-08-06,146237.62
2014-08-07,146481.76
2014-08-08,146481.76
2014-08-11,146481.76
2014-08-12,146486.82
2014-08-13,146486.82
2014-08-14,146497.48
2014-08-15,146497.48
2014-08-18,146507.81
2014-08-19,146507.81
2014-08-20,146507.81
2014-08-21,146507.81
2014-08-22,146507.81
2014-08-25,146525.49
2014-08-26,146741.6
2014-08-27,146741.6
2014-08-28,146485.36
2014-08-29,146485.36
2014-09-02,146546.56
2014-09-03,146546.56
2014-09-04,146546.56
2014-09-05,145795.2
2014-09-08,145795.2
2014-09-09,145972.33
2014-09-10,145972.33
2014-09-11,145972.33
2014-09-12,146160.67
2014-09-15,147132.98
2014-09-16,147132.98
2014-09-17,147132.98
2014-09-18,147146.72
2014-09-19,147146.72
2014-09-22,149360.15
2014-09-23,149063.99
2014-09-24,148356.87
2014-09-25,150723.65
2014-09-26,150723.65
2014-09-29,150723.65
2014-09-30,151360.63
2014-10-01,149712.04
2014-10-02,147755.56
2014-10-03,147758.12
2014-10-06,148074.71
2014-10-07,146844.11
2014-10-08,146861.87
2014-10-09,146601.97
2014-10-10,146834.76
2014-10-13,144786.99
2014-10-14,144786.99
2014-10-15,143923.22
2014-10-16,144227.34
2014-10-17,144227.34
2014-10-20,144269.31
2014-10-21,144269.31
2014-10-22,144269.31
2014-10-23,144269.31
2014-10-24,144269.31
2014-10-27,144269.31
2014-10-28,144269.31
2014-10-29,144610.45
2014-10-30,144957.2
2014-10-31,144957.2
2014-11-03,144957.2
2014-11-04,144957.2
2014-11-05,144957.2
2014-11-06,147980.26
2014-11-07,149952.11
2014-11-10,149952.11
2014-11-11,149952.11
2014-11-12,152279.54
2014-11-13,152279.54
2014-11-14,153952.31
2014-11-17,153952.31
2014-11-18,153952.31
2014-11-19,153952.31
2014-11-20,153221.87
2014-11-21,153221.87
2014-11-24,154916.11
2014-11-25,154916.11
2014-11-26,154916.11
2014-11-28,157453.54
2014-12-01,157453.54
2014-12-02,156938.98
2014-12-03,157260.08
2014-12-04,157260.08
2014-12-05,157260.08
2014-12-08,157260.08
2014-12-09,157260.08
2014-12-10,157444.53
2014-12-11,157444.53
2014-12-12,157253.72
2014-12-15,157253.72
2014-12-16,165460.61
2014-12-17,165460.61
2014-12-18,165460.61
2014-12-19,165460.61
2014-12-22,165460.61
2014-12-23,165460.61
2014-12-24,165460.61
2014-12-26,165460.61
2014-12-29,165460.61
2014-12-30,164776.0
2014-12-31,166736.52
2015-01-02,170719.64
2015-01-05,169104.25
2015-01-06,169104.25
2015-01-07,169104.25
2015-01-08,169104.25
2015-01-09,169104.25
2015-01-12,168740.41
2015-01-13,168186.78
2015-01-14,167895.33
2015-01-15,167510.72
2015-01-16,167510.72
2015-01-20,167078.03
2015-01-21,167078.03
2015-01-22,167078.03
2015-01-23,166646.06
2015-01-26,166646.06
2015-01-27,166357.4
2015-01-28,167256.6
2015-01-29,167256.6
2015-01-30,167558.99
2015-02-02,167558.99
2015-02-03,167558.99
2015-02-04,166784.97
2015-02-05,166784.97
2015-02-06,166784.97
2015-02-09,166784.97
2015-02-10,166784.97
2015-02-11,166784.97
2015-02-12,166784.97
2015-02-13,166784.97
2015-02-17,166784.97
2015-02-18,166784.97
2015-02-19,166784.97
2015-02-20,166784.97
2015-02-23,166784.97
2015-02-24,166784.97
2015-02-25,169013.77
2015-02-26,169013.77
2015-02-27,169013.77
2015-03-02,169013.77
2015-03-03,169013.77
2015-03-04,169013.77
2015-03-05,169013.77
2015-03-06,176071.02
2015-03-09,176071.02
2015-03-10,177325.09
2015-03-11,178228.03
2015-03-12,178228.03
2015-03-13,178228.03
2015-03-16,178249.89
2015-03-17,179539.67
2015-03-18,179539.67
2015-03-19,179539.67
2015-03-20,179539.67
2015-03-23,179539.67
2015-03-24,179837.7
2015-03-25,179283.85
2015-03-26,181088.5
2015-03-27,181088.5
2015-03-30,181088.5
2015-03-31,181088.5
2015-04-01,181088.5
2015-04-02,181088.5
2015-04-06,180147.32
2015-04-07,180147.32
2015-04-08,180147.32
2015-04-09,180147.32
2015-04-10,180147.32
2015-04-13,180147.32
2015-04-14,180147.32
2015-04-15,180147.32
2015-04-16,180531.47
2015-04-17,181719.11
2015-04-20,181719.11
2015-04-21,181719.11
2015-04-22,182887.83
2015-04-23,182887.83
2015-04-24,182887.83
2015-04-27,182887.83
2015-04-28,182156.24
2015-04-29,181868.23
2015-04-30,181868.23
2015-05-01,181868.23
2015-05-04,181868.23
2015-05-05,180682.76
2015-05-06,180036.64
2015-05-07,180036.64
2015-05-08,180036.64
2015-05-11,180036.64
2015-05-12,180036.64
2015-05-13,180036.64
2015-05-14,180036.64
2015-05-15,180036.64
2015-05-18,180036.64
2015-05-19,180036.64
2015-05-20,180036.64
2015-05-21,180036.64
2015-05-22,180036.64
2015-05-26,180036.64
2015-05-27,180036.64
2015-05-28,180036.64
2015-05-29,180036.64
2015-06-01,180452.19
2015-06-02,184143.14
2015-06-03,186027.78
2015-06-04,186797.84
2015-06-05,186797.84
2015-06-08,186797.84
2015-06-09,186562.31
2015-06-10,186562.31
2015-06-11,186562.31
2015-06-12,186562.31
2015-06-15,186562.31
2015-06-16,186798.23
2015-06-17,186798.23
2015-06-18,186798.23
2015-06-19,186798.23
2015-06-22,186798.23
2015-06-23,186798.23
2015-06-24,187094.22
2015-06-25,187094.22
2015-06-26,187094.22
2015-06-29,185869.88
2015-06-30,185869.88
2015-07-01,185869.88
2015-07-02,185869.88
2015-07-06,185869.88
2015-07-07,185869.88
2015-07-08,185086.54
2015-07-09,185086.54
2015-07-10,185086.54
2015-07-13,185086.54
2015-07-14,185086.54
2015-07-15,185086.54
2015-07-16,186242.86
2015-07-17,186242.86
2015-07-20,186242.86
2015-07-21,188681.83
2015-07-22,188499.78
2015-07-23,188499.78
2015-07-24,188499.78
2015-07-27,188813.01
2015-07-28,188813.01
2015-07-29,188813.01
2015-07-30,188813.01
2015-07-31,188813.01
2015-08-03,188813.01
2015-08-04,192262.72
2015-08-05,192262.72
2015-08-06,192576.37
2015-08-07,192576.37
2015-08-10,192576.37
2015-08-11,192576.37
2015-08-12,192576.37
2015-08-13,196166.28
2015-08-14,196166.28
2015-08-17,196166.28
2015-08-18,195024.65
2015-08-19,195024.65
2015-08-20,196678.83
2015-08-21,203606.22
2015-08-24,207137.31
2015-08-25,207137.31
2015-08-26,207137.31
2015-08-27,207137.31
2015-08-28,207137.31
2015-08-31,207137.31
2015-09-01,205384.48
2015-09-02,205384.48
2015-09-03,205384.48
2015-09-04,204134.85
2015-09-08,204134.85
2015-09-09,204134.85
2015-09-10,204134.85
2015-09-11,204134.85
2015-09-14,204134.85
2015-09-15,204134.85
2015-09-16,204134.85
2015-09-17,204134.85
2015-09-18,203069.94
2015-09-21,203639.88
2015-09-22,204093.15
2015-09-23,205324.78
2015-09-24,205324.78
2015-09-25,205590.74
2015-09-28,205185.37
2015-09-29,205185.37
2015-09-30,205185.37
2015-10-01,205185.37
2015-10-02,205185.37
2015-10-05,205185.37
2015-10-06,204766.71
2015-10-07,204766.71
2015-10-08,204766.71
2015-10-09,204766.71
2015-10-12,203637.29
2015-10-13,203637.29
2015-10-14,204924.82
2015-10-15,204924.82
2015-10-16,204924.82
2015-10-19,204924.82
2015-10-20,205316.04
2015-10-21,206461.6
2015-10-22,206461.6
2015-10-23,206461.6
2015-10-26,207857.7
2015-10-27,207857.7
2015-10-28,207857.7
2015-10-29,207857.7
2015-10-30,208631.37
2015-11-02,207577.86
2015-11-03,207577.86
2015-11-04,207577.86
2015-11-05,207577.86
2015-11-06,206529.36
2015-11-09,206529.36
2015-11-10,206792.88
2015-11-11,206792.88
2015-11-12,207679.76
2015-11-13,211671.7
2015-11-16,211671.7
2015-11-17,211671.7
2015-11-18,211671.7
2015-11-19,211671.7
2015-11-20,211671.7
2015-11-23,211671.7
2015-11-24,211671.7
2015-11-25,211671.7
2015-11-27,211671.7
2015-11-30,211671.7
2015-12-01,211671.7
2015-12-02,211188.93
2015-12-03,211422.6
2015-12-04,211422.6
2015-12-07,211422.6
2015-12-08,213795.33
2015-12-09,214107.55
2015-12-10,214107.55
2015-12-11,223860.8
2015-12-14,223860.8
2015-12-15,225394.39
2015-12-16,225394.39
2015-12-17,225748.91
2015-12-18,226790.85
2015-12-21,226790.85
2015-12-22,226790.85
2015-12-23,226790.85
2015-12-24,226790.85
2015-12-28,226790.85
2015-12-29,226790.85
2015-12-30,226790.85
2015-12-31,226790.85
2016-01-04,228016.3
2016-01-05,228016.3
2016-01-06,228016.3
2016-01-07,226991.7
2016-01-08,227340.45
2016-01-11,227340.45
2016-01-12,227340.45
2016-01-13,225875.07
2016-01-14,225875.07
2016-01-15,225477.84
2016-01-19,224224.91
2016-01-20,224224.91
2016-01-21,223186.76
2016-01-22,223186.76
2016-01-25,221255.19
2016-01-26,219948.54
2016-01-27,219948.54
2016-01-28,218537.88
2016-01-29,218537.88
2016-02-01,218537.88
2016-02-02,219723.46
2016-02-03,219193.67
2016-02-04,219784.13
2016-02-05,219594.15
2016-02-08,216646.39
2016-02-09,216646.39
2016-02-10,216646.39
2016-02-11,221259.89
2016-02-12,219423.22
2016-02-16,219423.22
2016-02-17,219423.22
2016-02-18,219423.22
2016-02-19,219423.22
2016-02-22,219325.6
2016-02-23,219325.6
2016-02-24,219325.6
2016-02-25,219325.6
2016-02-26,220850.99
2016-02-29,221546.19
2016-03-01,221546.19
2016-03-02,221546.19
2016-03-03,221546.19
2016-03-04,221546.19
2016-03-07,221546.19
2016-03-08,220828.34
2016-03-09,220828.34
2016-03-10,220828.34
2016-03-11,220828.34
2016-03-14,220828.34
2016-03-15,220828.34
2016-03-16,220828.34
2016-03-17,222188.58
2016-03-18,222188.58
2016-03-21,222188.58
2016-03-22,222188.58
2016-03-23,222188.58
2016-03-24,222188.58
2016-03-28,222188.58
2016-03-29,222188.58
2016-03-30,222188.58
2016-03-31,222188.58
2016-04-01,222188.58
2016-04-04,222188.58
2016-04-05,222188.58
2016-04-06,222188.58
2016-04-07,222188.58
2016-04-08,222188.58
2016-04-11,224990.18
2016-04-12,224990.18
2016-04-13,236698.95
2016-04-14,236698.95
2016-04-15,236698.95
2016-04-18,236698.95
2016-04-19,236698.95
2016-04-20,236698.95
2016-04-21,242643.93
2016-04-22,243517.37
2016-04-25,243517.37
2016-04-26,243517.37
2016-04-27,243517.37
2016-04-28,243517.37
2016-04-29,242608.98
2016-05-02,242608.98
2016-05-03,242608.98
2016-05-04,241833.06
2016-05-05,241833.06
2016-05-06,241833.06
2016-05-09,241833.06
2016-05-10,241650.47
2016-05-11,241650.47
2016-05-12,241650.47
2016-05-13,241650.47
2016-05-16,241650.47
2016-05-17,243129.88
2016-05-18,242582.29
2016-05-19,242582.29
2016-05-20,242582.29
2016-05-23,242582.29
2016-05-24,241614.91
2016-05-25,241614.91
2016-05-26,241614.91
2016-05-27,241614.91
2016-05-31,241614.91
2016-06-01,241614.91
2016-06-02,241614.91
2016-06-03,241614.91
2016-06-06,241614.91
2016-06-07,241614.91
2016-06-08,241614.91
2016-06-09,241614.91
2016-06-10,241614.91
2016-06-13,241870.47
2016-06-14,245424.89
2016-06-15,245424.89
2016-06-16,245424.89
2016-06-17,246654.2
2016-06-20,245481.26
2016-06-21,245481.26
2016-06-22,245481.26
2016-06-23,245481.26
2016-06-24,251543.25
2016-06-27,250571.25
2016-06-28,250571.25
2016-06-29,250571.25
2016-06-30,250571.25
2016-07-01,250571.25
2016-07-05,250571.25
2016-07-06,250571.25
2016-07-07,251205.48
2016-07-08,251205.48
2016-07-11,251205.48
2016-07-12,251205.48
2016-07-13,251205.48
2016-07-14,251205.48
2016-07-15,251205.48
2016-07-18,251205.48
2016-07-19,251205.48
2016-07-20,251205.48
2016-07-21,251205.48
2016-07-22,251205.48
2016-07-25,251205.48
2016-07-26,251643.82
2016-07-27,258946.83
2016-07-28,259485.66
2016-07-29,260938.23
2016-08-01,260938.23
2016-08-02,260938.23
2016-08-03,260938.23
2016-08-04,260938.23
2016-08-05,260938.23
2016-08-08,260938.23
2016-08-09,260938.23
2016-08-10,260938.23
2016-08-11,260938.23
2016-08-12,260938.23
2016-08-15,260938.23
2016-08-16,260938.23
2016-08-17,262084.63
2016-08-18,263360.13
2016-08-19,263784.48
2016-08-22,263784.48
2016-08-23,263784.48
2016-08-24,263784.48
2016-08-25,263784.48
2016-08-26,262266.22
2016-08-29,262266.22
2016-08-30,262267.44
2016-08-31,259806.65
2016-09-01,259806.65
2016-09-02,259806.65
2016-09-06,259808.25
2016-09-07,259808.25
2016-09-08,258335.32
2016-09-09,254724.34
2016-09-12,254724.34
2016-09-13,254724.34
2016-09-14,253575.53
2016-09-15,253575.53
2016-09-16,253575.53
2016-09-19,253575.53
2016-09-20,253575.53
2016-09-21,253575.53
2016-09-22,253575.53
2016-09-23,253575.53
2016-09-26,254403.85
2016-09-27,254403.85
2016-09-28,254403.85
2016-09-29,254403.85
2016-09-30,254403.85
2016-10-03,254403.85
2016-10-04,252886.24
2016-10-05,252886.24
2016-10-06,252886.24
2016-10-07,252886.24
2016-10-10,252886.24
2016-10-11,253383.33
2016-10-12,253383.33
2016-10-13,253383.33
2016-10-14,257012.62
2016-10-17,257012.62
2016-10-18,257012.62
2016-10-19,257451.26
2016-10-20,257451.26
2016-10-21,257451.26
2016-10-24,257451.26
2016-10-25,255989.31
2016-10-26,254708.98
2016-10-27,254708.98
2016-10-28,255100.36
2016-10-31,255100.36
2016-11-01,255510.61
2016-11-02,254463.31
2016-11-03,252428.88
2016-11-04,251237.72
2016-11-07,251237.72
2016-11-08,251237.72
2016-11-09,251237.72
2016-11-10,251237.72
2016-11-11,252679.45
2016-11-14,252679.45
2016-11-15,252679.45
2016-11-16,257395.17
2016-11-17,257395.17
2016-11-18,256543.55
2016-11-21,256543.55
2016-11-22,256543.55
2016-11-23,256543.55
2016-11-25,256543.55
2016-11-28,263865.27
2016-11-29,263865.27
2016-11-30,263865.27
2016-12-01,262374.15
2016-12-02,262374.15
2016-12-05,262374.15
2016-12-06,265456.39
2016-12-07,265456.39
2016-12-08,265456.39
2016-12-09,265456.39
2016-12-12,265456.39
2016-12-13,265456.39
2016-12-14,266597.02
2016-12-15,266597.02
2016-12-16,266458.86
2016-12-19,269856.07
2016-12-20,269856.07
2016-12-21,269856.07
2016-12-22,272468.12
2016-12-23,272468.12
2016-12-27,272468.12
2016-12-28,272468.12
2016-12-29,272468.12
2016-12-30,272468.12
2017-01-03,276468.12
2017-01-04,276468.12
2017-01-05,276468.12
2017-01-06,276468.12
2017-01-09,276468.12
2017-01-10,280668.25
2017-01-11,280668.25
2017-01-12,280668.25
2017-01-13,280668.25
2017-01-17,287459.81
2017-01-18,287459.81
2017-01-19,287459.81
2017-01-20,287459.81
2017-01-23,287459.81
2017-01-24,287459.81
2017-01-25,287459.81
2017-01-26,286225.74
2017-01-27,286225.74
2017-01-30,287355.71
2017-01-31,294297.08
2017-02-01,294297.08
2017-02-02,294297.08
2017-02-03,296488.67
2017-02-06,296488.67
2017-02-07,296488.67
2017-02-08,296488.67
2017-02-09,296488.67
2017-02-10,296488.67
2017-02-13,296488.67
2017-02-14,296488.67
2017-02-15,296488.67
2017-02-16,296811.3
2017-02-17,296811.3
2017-02-21,296811.3
2017-02-22,296811.3
2017-02-23,296811.3
2017-02-24,296811.3
2017-02-27,296811.3
2017-02-28,296811.3
2017-03-01,296811.3
2017-03-02,296811.3
2017-03-03,296811.3
2017-03-06,295943.14
2017-03-07,295943.14
2017-03-08,295943.14
2017-03-09,297318.07
2017-03-10,297318.07
2017-03-13,297318.07
2017-03-14,297318.07
2017-03-15,298665.85
2017-03-16,298665.85
2017-03-17,298665.85
2017-03-20,298665.85
2017-03-21,309631.78
2017-03-22,311751.31
2017-03-23,311751.31
2017-03-24,311751.31
2017-03-27,312224.91
2017-03-28,312224.91
2017-03-29,312224.91
2017-03-30,312224.91
2017-03-31,312224.91
2017-04-03,312224.91
2017-04-04,312224.91
2017-04-05,311782.51
2017-04-06,311782.51
2017-04-07,311782.51
2017-04-10,311165.76
2017-04-11,311165.76
2017-04-12,311165.76
2017-04-13,309917.52
2017-04-17,309917.52
2017-04-18,309917.52
2017-04-19,309917.52
2017-04-20,309917.52
2017-04-21,309917.52
2017-04-24,309917.52
2017-04-25,309917.52
2017-04-26,309917.52
